name,organization_name,membership_label,description,timespan
ПЄТУХОВ Олександр Олександрович,прокуратура міста Києва,"заступник начальника управління правозахисної діяльності, протидії корупції та злочинності у сфері транспорту",Наказ Прокуратури міста Києва від 16.10.2014 № 3525к,10 років
САЛКОВ Володимир Вікторович,Генеральна прокуратура України,заступник начальника відділу участі прокурорів у цивільному судочинстві управління представництва в суді захисту інтересів громадян та держави при виконанні судових рішень Головного управління представництва та організації участі у кримінальному провадженні в суді Генеральної прокуратури України,Наказ Генеральної прокуратури України від 01 грудня 2014 року № 2727у,10 років
МАНЖЕЛЕЙ Ярослав Іванович,Управління МВС України в Івано-Франківській області,заступника начальника Управління МВС України в Івано-Франківській області – начальника міліції громадської безпеки,Наказ Міністерства внутрішніх справ України від 27.10.2014 № 2239 о/с,10 років
СУХАР Валентин Валерійович,Управління МВС України в Чернівецькій області,перший заступник начальника Управління МВС України в Чернівецькій області – начальник слідчого управління,наказ Міністерства внутрішніх справ України від 27.10.2014 2239о/с,10 років
КУРУП Анатолій Миколайович,Головне управління Міндоходів у Кіровоградській області,заступник начальника - начальник штабу оперативного управління Головного управління Міндоходів у Кіровоградській області,Наказ Міністерства доходів і зборів України від 29.10.2014 № 2168-о,10 років
ГУСЛАВСЬКИЙ Володимир Станіславович,Міністерство внутрішніх справ України,перебуває у розпорядженні МВС за посадою начальника Головного Управління МВС України у Луганській області,Наказ Міністерства внутрішніх справ України від 17 грудня 2014 року № 2601 о/с,10 років
ГРАБ Тетяна Дмитрівна,ДПІ у Виноградівському районі  Головного управління Міндоходів у Закарпатській області,начальник ДПІ у Виноградівському районі  Головного управління Міндоходів у Закарпатській області,Наказ Державної фіскальної служби України від 24.10.2014 № 1005-О,10 років
ГАВРИЛЮК Михайло Іванович,Прокуратура Кіровоградської області,прокурор Кіровоградської області,Наказ Генеральної Прокуратури України від 23.10.2014 № 1457к,10 років
РОЗМАН Василь Васильович,Державна фіскальна служба України,заступник  начальника Свалявської ОДПІ  Головного управління Міндоходів у Закарпатській області,Наказ Державної фіскальної служба України від 24.10.2014 № 1007-о,10 років
ПРИСЯЖНЮК Василь Степанович,Генеральна прокуратура України,заступник начальника Головного управління міжнародно-правового співробітництва Генеральної прокуратури України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2496-ц,10 років
ВИЧІКОВ Віктор Васильович,Генеральна прокуратура України,начальник управління організаційного та правового забезпечення  Генеральної прокуратури України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2504-ц,10 років
ЯКОВЛЄВА Луіза Альфредівна,Дніпровська екологічна прокуратура,заступник Дніпровського екологічного прокурора,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 1491к,10 років
ЧУМАЧЕНКО Анатолій Іванович,Генеральна прокуратура України,заступник начальника управління організації участі прокурорів у кримінальному провадженні в суді Головного управління представництва та організації участі у кримінальному провадженні в суді Генеральної прокуратури України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2519-ц,10 років
ФЕНОГА Наталія Іванівна,Прокуратура Полтавської області,заступник прокурора Полтавської області,Наказ Генеральної Прокуратури України від 23.10.2014 № 1468к,10 років
ПЕРЕПЕЛИЦЯ Дмитро Дмитрович,Генеральна прокуратура України,начальник відділу представництва при виконанні судових рішень управління представництва в суді захисту інтересів громадян та держави при виконанні судових рішень Головного управління представництва та організації участі у кримінальному провадженні в суді Генеральної прокуратури України,Наказ Генеральної прокуратури України від 01 грудня 2014 року № 2726у,10 років
ВІННІК Сергій Олександрович,Головне управління Міндоходів у Черкаській області,перебуває у розпорядженні,Наказ Головного управління Міндоходів у Черкаській області від 24.10.2014 № 99-о/пм,10 років
БЯНОВА Наталя Анатоліївна,Іванівська районна державна адміністрація Одеської області,Голова Іванівської районної державної адміністрації Одеської області,Розпорядження Президента України від 30.10.2014 № 1226/2014-рп,10 років
ВЕЛЬКОВА Маргарита Андріївна,Генеральна прокуратура України,керівник Прес-служби (на правах управління) Генеральної прокуратури України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2535-ц,10 років
СЬОМКІН Сергій Вікторович,Державне агентство України з питань кіно,Перший заступник Голови Державного агентства України з питань кіно,Розпорядження Кабінету Міністрів України від 16 жовтня 2014 року № 975-р,10 років
ЛИННИК Алла Володимирівна,прокуратура Харківської області,заступник прокурора Харківської області,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 1477к,10 років
БОЙКО Леонід Леонідович,Управління МВС України на Південно-Західній залізниці,заступник начальника Управління МВС України на Південно-Західній залізниці - начальник кримінальної міліції,наказ Міністерства внутрішніх справ України від 27.10.2014 2239о/с,10 років
КУЦЕНКО Іван Миколайович,"Головне управління Міндоходів у м. Києві,","ГУ Міндоходів у м. Києві, перший заступник начальника слідчого управління фінансових розслідувань Головного управління Міндоходів у м. Києві",Наказ Міністерства доходів і зборів України від 28.10.2014 № 2157-о,10 років
СКИДАНОВ Олег Дмитрийович,Прокуратура Запорізької області,заступник прокурора Запорізької області,Наказ Генеральної Прокуратури України від 23.10.2014 № 1451к,10 років
БОНДАРЕНКО Олександр Миколайович,Генеральна прокуратура України,"прокурор відділу нагляду за додержанням законів у кримінальному провадженні управління правозахисної діяльності, протидії корупції та злочинністі у сфері транспорту Головного управління  захисту прав і свобод громадян та інтересів держави, протидії корупції та злочинністі у сфері транспорту Генеральної прокуратури України",Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2534-ц,10 років
КОСТРИЦЬКИЙ Володимир Віталійович,Генеральна прокуратура України,"заступник начальника  управління правозахисної діяльності у сферах екології та земельних відносин- начальник відділу захисту інтересів громадян і держави у сфері земельних відносин Головного управління захисту прав і свобод громадян, інтересів держави, нагляду за додержанням законів спецпідрозділами та іншими органами, які ведуть боротьбу з організованою злочинністю і корупцією Генеральної прокуратури України",Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2512-ц,10 років
ХАРЧЕНКО Віталій Миколайович,Генеральна прокуратура України,начальник відділу організації представництва інтересів громадян та держави в судах управління правозахисної діяльності протидії корупції та злочинності у сфері транспорту Головного управління захисту прав і свобод громадян інтересів держави нагляду за додержанням законів спецпідрозділами та іншими органами які ведуть боротьбу з організованою злочинністю і корупцією Генеральної прокуратури України,Наказ Генеральної прокуратури України від 02 грудня 2014 року № 2732у,10 років
ЯРЦЕВ Вячеслав Олегович,Головне управління Міндоходів у Дніпропетровській області,заступник начальника управління - начальник відділу планування та моніторингу слідчого управління фінансових розслідувань Головного управління Міндоходів у Дніпропетровській області,Наказ Міністерства доходів і зборів України від 29.10.2014 № 2161-о,10 років
ЛЯЩЕНКО Вадим Анатолійович,"Головне управління Міндоходів у Рівненській області,",заступник начальника оперативного управління Головного управління Міндоходів у Рівненській області,Наказ Міністерства доходів і зборів України від 29.10.2014 № 2175-о,10 років
ХЛАПЬОНОВ Євген Леонідович,прокуратура Чернігівської області,старший слідчий	слідчого відділу прокуратури Чернігівської області,Наказ Прокуратури Чернігівської області від 23.10.2014 № 477к,10 років
АДАМОВИЧ Олена Євгенівна,Департамент економічного розвитку Полтавської обласної державної адміністрації,"директор Департаменту економічного розвитку Полтавської обласної державної адміністрації,",Розпорядження Полтавської обласної державної адміністрації від 24.10.2014 № 475-к,10 років
СКЛЕНЬ Олексій Іванович,Служба безпеки України,перший заступник начальника управління,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
ШУЛЯК Олег Всеволодович,Державна фінансова інспекція в Xмельницькій області,головний спеціаліст з питань запобігання та виявлення корупції Державної фінансової інспекції в Xмельницькій області,Наказ  Державної фінансової інспекції в Xмельницькій області від 12 листопада 2014 року № 366-о,10 років
ТОМИЛКО Наталія Валеріївна,Кіровське міське управління юстиції  Донецької області,начальник Кіровського міського управління юстиції  Донецької області,Наказ Міністерства юстиції України від 25 листопада 2014 року №2542/к,10 років
ЧЕРНИХ Денис Сергійович,Генеральна прокуратура України,"начальник відділу захисту фінансово-економічних інтересів держави управління захисту прав і свобод громадян та інтересів держави  Головного управління захисту прав і свобод громадян, інтересів держави, нагляду за додержанням законів спецпідрозділами та іншими органами, які ведуть боротьбу з організованою злочинністю і корупцією Генеральної прокуратури України",Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2523-ц,10 років
СТЕЦЕНКО Віталій Олександрович,УМВС України в Сумській області,помічник начальника Управління МВС України в Сумській області по взаємодії з ветеранами,Наказ  Міністерства внутрішніх справ України від 28.10.2014 № 2253 о/с,10 років
ЖУРБАС Олег Іванович,ГУ Міндоходів у м. Києві,перший заступник начальника оперативного управління Головного управління Міндоходів у м. Києв,Наказ Міністерства доходів і зборів України від 28.10.2014 № 2158-о,10 років
БОЙКО Володимир Никифорович,Генеральна прокуратура України,заступник начальника Головного слідчого управління Генеральної прокуратури України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2494-ц,10 років
ШЕВЧУК Володимир Іванович,прокуратура Хмельницької області,заступник прокурора Хмельницької області,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 1482к,10 років
ВОРОПАЄВ Євген Юрійович,Національна комісія з цінних паперів та фондового ринку,член Національної комісії з цінних паперів та фондового ринку,Указ Президента України від 30 січня 2015 року №46/2015,10 років
КРАВЧЕНКО Василь Іванович,Генеральна прокуратура України,начальник відділу профілактичної роботи  управління внутрішньої безпеки Головного управління кадрового забезпечення та  внутрішньої безпеки Генеральної прокуратури України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2522-ц,10 років
БАРДАДИМ Василь Григорович,Томаківська районна державна адміністрація Дніпропетровської області,Голова Томаківської районної державної адміністрації Дніпропетровської області,Розпорядження Президента України від 30.10.2014 № 1203/2014-рп,10 років
ГУМЕНЮК Сергій Миколайович,Управління МВС України в Херсонській області,перебуває у розпорядженні Управління МВС України в Херсонській області по посаді заступника начальника Управління МВС України в Херсонській області – начальника кримінальної міліції,Наказ  Міністерства внутрішніх справ України від 28.10.2014 № 2253 о/с,10 років
ДУДНІК Віктор Миколайович,Павлоградська районна державна адміністрація Дніпропетровської області,Голова Павлоградської районної державної адміністрації Дніпропетровської області,Розпорядження Президента України від 30.10.2014 № 1200/2014-рп,10 років
ЛАЗОР Василь Михайлович,Служба безпеки України,перший заступник начальника департаменту,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
ЛЕСЬКО Микола Валерійович,Головне управління Міндоходів у Київській області,"Головне управління Міндоходів у Київській області, 
начальник оперативного управління",Наказ Міністерства доходів і зборів України від 29.10.2014 № 2165-о,10 років
ПАСТУХ Валерій Григорович,Управління МВС України у Вінницькій області,начальник управління по боротьбі з організованою злочинністю Управління МВС України у Вінницькій області,Наказ  Міністерства внутрішніх справ України від 28.10.2014 № 2253 о/с,10 років
КРИВОЛАП Юрій Анатолійович,Державна податкова інспекція у Запорізькому районі Головного управління Міндоходів у Запорізькій області,начальник Державної податкової інспекції у Запорізькому районі Головного управління Міндоходів у Запорізькій області,Наказ Державної фіскальної служба України від 27.10.2014 № 1048-о,10 років
РОМАНЕНКО  Євген Володимирович,Служба безпеки України,заступник начальника головного управління-начальник головного відділу,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
ШЕВЧЕНКО Едуард Васильович,Генеральна прокуратура України,заступник начальника управління нагляду за додержанням законів у воєнній сфері- начальник відділу нагляду за додержанням законів у кримінальному провадженні Головного управління процесуарного керівництва у кримінальних провадженнях слідчих центрального апарату та нагляду за додержанням законів у воєнній сфері Генеральної прокуратури України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2518-ц,10 років
АНДРЄЄВ Денис Миколайович,прокуратура  Миколаївської області,прокурор Снігурівського району Миколаївської області,Наказ Генеральної Прокуратури України від 23.10.2014 № 1464к,10 років
МЕЛЬНИК Юрій Іванович,Прокуратура Київської області,заступник прокурора Київської області,Наказ Генеральної Прокуратури України від 23.10.2014 № 1455к,10 років
БОНДАРЕНКО Віктор Дмитрович,Міністерство освіти і науки України,директор департаменту атестації кадрів вищої кваліфікації Міністерства освіти і науки України,Наказ Міністерства освіти і науки України від 01 грудня 2014 року № 416-а,10 років
ПЕРЕГНЯК Володимир Іванович,"Головне управління Міндоходів у Рівненській області,","Головне управління Міндоходів у Рівненській області, перебуває у розпорядженні",Наказ  Головного управління Міндоходів у Рівненській області від 24.10.2014 № 71-о,10 років
ЧАЛИЙ Олександр Володимирович,"Головне управління Міндоходів у Черкаській області,","Головне управління Міндоходів у Черкаській області, заступник начальника оперативного управління Головного управління Міндоходів у Черкаській області",Наказ Міністерства доходів і зборів України від 29.10.2014 № 2178-о,10 років
ЖОЛОНКО Сергій Пилипович,Прокуратура Кіровоградської   області,перший заступник прокурора Кіровоградської   області,Наказ Генеральної Прокуратури України від 23.10.2014 № 1458к,10 років
КУТОВИЙ Вадим Миколайович,ГУ Міндоходів у Львівській області,заступник начальника оперативного управління ГУ Міндоходів у Львівській області,Наказ Міністерства доходів і зборів України від 28.10.2014 № 2184-о,10 років
ХИЛЯ Михайло Михайлович,Прокуратура Закарпатської області,заступник прокурора Закарпатської області,Наказ Генеральної Прокуратури України від 23.10.2014 № 1447к,10 років
ВАСИЛИК Володимир Богданович,Генеральна прокуратура України,начальник другого відділу процесуарного керівництва досудовим розслідуванням і підтримання державного обвинувачення  управління нагляду за додержанням законів органами внутрішніх справ Головного управління нагляду у кримінальному провадженні Генеральної прокуратури України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2520-ц,10 років
ВОЛОШИН Володимир Анатолійович,-,Заступник начальника Вінницкої митниці Міндоходів,Наказ Державної фіскальної служби України від 24.10.2014 № 1010-О,10 років
ПІДГАЙНИЙ Олег Станіславович,Генеральна прокуратура України,заступник начальника Головного управління міжнародно-правового співробітництва- начальник управління міжнародно-правової допомоги та екстрадиції Генеральної прокуратури України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2498-ц,10 років
МАРЧУК Валентин Іванович,Служба безпеки України,офіцер діючого резерву,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
ФІГЕЛЬ Андрій Анатолійович,Прокуратура Івано-Франківської області,прокурор Галицького району Івано-Франківської області,Наказ Генеральної Прокуратури України від 23.10.2014 № 1453к,10 років
ГРОМОВИЙ Антон Олександрович,-,заступник начальника Головного управління Міндоходів у Закарпатській області,Наказ Державної фіскальної служби України від 24.10.2014 № 1004-О,10 років
ДЕЙСАН Микола Миколайович.,"державнео підприємство «Житомирський науково-виробничий центр стандартизації, метрології та сертифікації» .","генеральний директор державного підприємства «Житомирський науково-виробничий центр стандартизації, метрології та сертифікації» .",Наказ Міністерства Економічного розвитку і торгівлі України від 22.10.2014 № 87-п,10 років
ГРИЩЕНКО Владислав Андрійович,Генеральна прокуратура України,заступник начальника Головного слідчого управління  Генеральної прокуратури України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2495-ц,10 років
ТОВБІЙЧУК Віктор Феодосійович,Прокуратура Одеської  області,заступник прокурора Одеської  області,Наказ Генеральної Прокуратури України від 23.10.2014 № 1466к,10 років
КОРСУН Іван Григорович,Управління МВС України в Полтавській області,начальник Управління МВС України в Полтавській області,Наказ Міністерства внутрішніх справ України від 27.10.2014 № 2238 о/с,10 років
НАЗАРЧУК Михайло Ігорович,Національна комісія з цінних паперів та фондового ринку,член Національної комісії з цінних паперів та фондового ринку,Указ Президента України від 30 січня 2015 року №47/2015,10 років
ТИТАРЧУК Григорій Миколайович,Генеральна прокуратура України,заступник начальника управління організаційного та правового забезпечення  Генеральної прокуратури України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2511-ц,10 років
САВЧЕНКО Вячеслав Іванович,Служба безпеки України,офіцер з особливих доручень ІІІ категорії,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
СУХОДУБОВ Володимир Сергійович,Прокуратура Харківської області,Начальник відділу роботи з кадрами прокуратури Харківської області,Наказ Прокуратури Харківської області від 23.10.2014 № 2218к,10 років
ЧЕРЕДНІЧЕНКО Лариса Вікторівна,Генеральна прокуратура України,заступник начальника  управління міжнародно-правової допомоги та екстрадиції   Головного управління міжнародно-правових зв’язків  та європейської інтеграції Генеральної прокуратури України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2517-ц,10 років
КОВАЛЬОВ Сергій Іванович,Управління МВС України в Хмельницькій області,перший заступник начальника Управління МВС України в Хмельницькій області – начальник слідчого управління,Наказ Міністерства внутрішніх справ України від 27.10.2014 № 2239 о/с,10 років
НОВИЦЬКИЙ Костянтин Анатолійович,Головне управління Міндоходів у Кіровоградській області,виконуючий обов’язки завідувача сектору оперативних чергових митниць оперативного управління Головного управління Міндоходів у Кіровоградській області,Наказ  Головного управління Міндоходів у Кіровоградській області від 24.10.2014 № 352-о,10 років
СОКОРЧУК Ігор Анатолійович,Генеральна прокуратура України,заступник начальника управління справами Головного управління кадрів та забезпечення діяльності  органів прокуратури  Генеральної прокуратури України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2516-ц,10 років
МИХАЙЛОВ Володимир Володимирович,Дніпропетровська митниці Міндоходів,начальник оперативного відділу оперативного управління боротьби з контрабандою та митними правопорушеннями Дніпропетровської митниці Міндоходів,Наказ Міністерства доходів і зборів України від 29.10.2014 № 2160-о,10 років
ФЕДІРКО Володимир Миколайович,Служба безпеки України,офіцер з особливих доручень III категорії,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
ПЕТРУШЕНКО Микола Миколайович,Збройні Сили України,головний інспектор Повітряних Сил Головної інспекції Міністерства оборони України.,Наказ Міністра оборони України від 25.10.2014 № 647,10 років
ТВЕРДОХЛІБ Валентин Васильович,Генеральна прокуратура України,перший заступник начальника управління кадрового абезпечення  Головного управління кадрів та забезпечення діяльності  органів прокуратури  Генеральної прокуратури України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2506-ц,10 років
АНДРЄЄВ Дмитро Володимирович,прокуратура Сумської області,заступник прокурора Сумської області,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 1473к,10 років
СОРОЧАН Андрій Вікторович,Служба безпеки України,заступник начальника головного управління- начальник управління,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
ШУЛЯКОВА Віра Федорівна,Генеральна прокуратура України,старший помічник заступника Генерального прокурора України - начальника Головного управління,Наказ Генеральної прокуратури України від 01 грудня 2014 року № 2716у,10 років
КАМІНСЬКИЙ Ігор Дмитрович,Управління МВС України в Рівненській області,Заступник начальника Управління МВС України в Рівненській області,Наказ Міністерства внутрішніх справ України від 24.10.2014 № 2213 о/с,10 років
БИКОВ  Вячеслав Миколайович,прокуратура Амур-Нижньодніпровського району м.Дніпропетровська,прокурор Амур-Нижньодніпровського району м.Дніпропетровська,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 1441к,10 років
ПОЛОНЕЦЬ Сергій Віталійович,Служба безпеки України,перший заступник начальника управління,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
ФІНІК Владислав Васильович,Прокуратура Одеської області,заступник прокурора Одеської області,Наказ Генеральної Прокуратури України від 23.10.2014 № 1467к,10 років
ПРОЦЕНКО Ігор Олексійович,Прокуратура Київської області,заступник прокурора Київської області,Наказ Генеральної Прокуратури України від 23.10.2014 № 1456к,10 років
СКЛЯНОВ Валерій Вікторович,Управління МВС України в Чернівецькій області,перебуває на посаді заступника начальника управління матеріального забезпечення Управління МВС України в Чернівецькій області,Наказ  Міністерства внутрішніх справ України від 28.10.2014 № 2253 о/с,10 років
БАБЕНКО Володимир Іванович,Прокуратура Київської  області,перший заступник прокурора Київської  області,Наказ Генеральної Прокуратури України від 23.10.2014 № 1454к,10 років
СИМОНОВ Вадим Євгенович,Державна ветеринарної та фітосанітарної служби,перший заступник Голови Державної ветеринарної та фітосанітарної служби,Розпорядження КМ від 16.10.2014 № 978-р,10 років
ВОРОБЙОВ Генадій Петрович,Збройні Сили України,перший заступник начальника Генерального штабу Збройних Сил України.,Наказ Міністра оборони України від 25.10.2014 № 647,10 років
ЛУПАЩЕНКО Володимир Миколайович,УМВС України в Житомирській області,начальник управління по боротьбі з організованою злочинністю УМВС України в Житомирській області,Наказ  Міністерства внутрішніх справ України від 28.10.2014 № 2253 о/с,10 років
ТИМОШЕНКО Володимир Андрійович,Державна служба України з контролю за наркотиками,Голова Державної служби України з контролю за наркотиками,Розпорядження КМ від 16.10.2014 № 983-р,10 років
КИРИЧИШИН Андрій Анатолійович,Служба безпеки України,офіцер діючого резерву,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
ВОЛЬСЬКИЙ Віктор Васильович,Генеральна прокуратура України,начальник організаційно-методичного відділу управління внутрішньої безпеки та захисту працівників прокуратури Головного управління кадрів та забезпечення діяльності  органів прокуратури  Генеральної прокуратури України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2521-ц,10 років
ДЕМЯНКО Олександр Миколайович,Міністерство внутрішніх справ України,начальник Центру безпеки дорожнього руху та автоматизованих систем (підпорядкованого Департаменту Державної автомобільної інспекції) при МВС України,Наказ Міністерства внутрішніх справ України від 24 жовтня 2014 року № 2221 о/с,10 років
ПАРАМОНОВ Юрій Миколайович,Служба безпеки України,офіцер з особливих доручень III категорії,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
КОРНІЛОВ Олег Володимирович,Прокуратура Одеської області,начальник слідчого управління прокуратури Одеської області,Наказ Прокуратури Одеської області від 23.10.2014 №  2518к,10 років
ГОЛОМША Ярослав Ярославович,Головне управління МВС України в Київській області,начальник Головного управління МВС України в Київській області,Наказ Міністерства внутрішніх справ України від 27.10.2014 № 2238 о/с,10 років
СЕРБІН Вячеслав Валерійович,Ананьївська районна державної адміністрації Одеської області,голова Ананьївської районної державної адміністрації Одеської області,Розпорядження Президента України від 30.10.2014 № 1221/2014-рп,10 років
