name,organization_name,membership_label,description,timespan
КОСОВСЬКИЙ Анатолій Іванович,Путивльська районна державна адміністрація Сумської області,Голова Путивльської районної державної адміністрації Сумської області,Розпорядження Президента України від 30.10.2014 № 1227/2014-рп,10 років
ШЕМЯКІН Олег Володимирович,Генеральна прокуратура України,заступник начальника відділу нагляду за додержанням законів у кримінальному провадженні управління правозахисної діяльності протидії корупції та злочинності у сфері транспорту Головного управління захисту прав і свобод громадян інтересів держави нагляду за додержанням законів спецпідрозділами та іншими органами які ведуть боротьбу з організованою злочинністю і корупцією Генеральної прокуратури України,Наказ Генеральної прокуратури України від 01 грудня 2014 року № 2728у,10 років
СТОЛІТНІЙ Антон Володимирович,Національна академія прокуратури України,доцент кафедри процесуального керівництва та підтримання державного обвинувачення  Національної академії прокуратури України,Наказ Національної академії прокуратури України від 24.10.2014 № 1003-к,10 років
ШИШКО Петро Федорович,Генеральна прокуратура України,старший прокурор відділу запобігання правопорушенням у територіальних прокуратурах  управління внутрішньої безпеки та захисту працівників прокуратури Головного управління кадрів та забезпечення діяльності  органів прокуратури  Генеральної прокуратури України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2533-ц,10 років
ЛЮШЕНКО Ігор Васильович,Фонд державного майна,начальник Регіонального відділення Фонду державного майна України по Хмельницькій області,Наказ Фонду державного майна від 24.10.2014 № 130-р,10 років
КРАВЦОВ Олександр Георгійович,Прокуратура Одеської області,заступник начальника управління процесуального керівництва у кримінальних провадженнях – начальник організаційно-методичного відділу прокуратури Одеської області,Наказ Прокуратури Одеської області від 23.10.2014 №  2517к,10 років
КОРОСТЕЛЬОВ Віталій Вікторович,Міжрегіональне головне управління Міндоходів – Центрального офісу з обслуговування великих платників,зарахований у розпорядження Міжрегіонального головного управління Міндоходів – Центрального офісу з обслуговування великих платників,Наказ Міжрегіонального головного управління Міндоходів – Центрального офісу з обслуговування великих платників від 24.10.2014 № 387-о,10 років
ПЛОТНІК Михайло Володимирович,"Головне управління Міндоходів у Рівненській області,",виконуючий обов’язки начальника другого відділу кримінальних розслідувань слідчого управління фінансових розслідувань  Головного управління Міндоходів у Рівненській області,Наказ  Головного управління Міндоходів у м. Києві від 24.10.2014 № 71-о,10 років
БУГРИНЕЦЬ Руслан Андрійович,Управління МВС України в Кіровоградській області,заступник начальника Управління МВС України в Кіровоградській області,наказ Міністерства внутрішніх справ України від 27.10.2014 № 2239о/с,10 років
ЯВОРСЬКИЙ Ярослав Володимирович,"Головне управління Міндоходів у Запорізькій області,","Головне управління Міндоходів у Запорізькій області, заступник начальника
управління – начальник відділу планування та моніторингу слідчого управління
фінансових розслідувань",Наказ Міністерства доходів і зборів України від 29.10.2014 № 2163-о,10 років
БАШАРА Володимир Леонтійович,Служба безпеки України,перший заступник начальника  управління,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
ХОМИЧ Інна Юріївна,Прокуратура міста Києва,начальник управління захисту прав і свобод громадян та інтересів держави прокуратури міста Києва,Наказ Прокуратури міста Києва від  23.10.2014 № 3578к,10 років
ШМАКОВ Олег Віталійович,Прокуратура міста Комсомольська Полтавської області,заступник прокурора міста Комсомольська Полтавської області,Наказ Прокуратури Полтавської області від 23.10.2014 № 533к,10 років
ПЄВНЄВ Олександр Сергійович,прокуратура Автономої Республіки Крим,"начальник відділу  правозахисної діяльності, протидії корупції та злочинності  у сфері транспорту прокуратури Автономої Республіки Крим",Наказ Прокуратури Автономної Республіки Крим від 22 жовтня 2014 року № 50-к,10 років
ПЕРЦОВ Олександр Володимирович,Служба безпеки України,заступник начальника управління,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
ЛИСИЙ Микола Іванович,Генеральна прокуратура України,військовий прокурор Західного регіону України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 1499-к,10 років
ПРИНДАК Євген Петрович,"Львівська митниця Міндоходів,","Львівська митниця Міндоходів, заступник начальника оперативного управління боротьби з контрабандою та митними правопорушеннями",Наказ Міністерства доходів і зборів України від 29.10.2014 № 2183-о,10 років
ПЕТРУНЕНКО Володимир Вікторович,Генеральна прокуратура України,перший заступник військового прокурора Південного регіону України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 1501-к,10 років
